title,species,main_gender,main_race,author_gender
Bluey - The Beach,Animal,Female,Not applicable,Unknown
Bunheads,Human,Female,Black or African American,Female
Caps for Sale,Human,Male,White,Female
Caps for Sale and the Mindful Monkeys,Human,Male,White,Female
Celtic Tales - The Giant's Stairs,Human,Male,White,Unknown
Celtic Tales - The Kildare Pooka,Both,Male,White,Unknown
Celtic Tales - The Seal Catcher and the Selkies,Both,Male,White,Unknown
Cheetahs,Animal,Not applicable,Not applicable,Unknown
Dear Girl,Human,Female,White,Female
Fletcher and the Springtime Blossoms,Animal,Male,Not applicable,Unknown
Flying High The Story of Gymnastics Champion Simone Biles,Human,Female,Black or African American,Female
From My Window,Human,Male,Latino,Male
Frozen,Human,Female,White,Female
Frozen - Look and Find,Human,Female,White,Unknown
Giraffes Can't Dance,Animal,Female,Not applicable,Male
Good Night Yoga,Human,More than one,White,Female
Grandmother Fish,Animal,Female,Not applicable,Male
How Do Penguins Play?,Animal,Not applicable,Not applicable,Female
I'm a Narwhal,Animal,Not applicable,Not applicable,Female
Kit and Kaboodle Take the Train,Animal,More than one,Not applicable,Female
Madeline's Rescue,Human,Female,White,Male
Mighty Twins,Animal,More than one,Not applicable,Male
Moana,Human,Female,Native Hawaiian or Other Pacific Islander,Female
Mommy Goes to Work,Human,More than one,White,Female
My Amazing Body,Human,Not applicable,Not applicable,Female
My Mouth is a Volcano,Human,Male,White,Female
One Big Heart,Human,More than one,White,Female
Pete the Kitty and the Unicorn's Missing Colors,Animal,Male,Not applicable,More than one
Puppy Birthday to You,Animal,More than one,Not applicable,Unknown
"Richard Scarry's Busy, Busy Town",Animal,More than one,Not applicable,Male
Sleeping Beauty,Human,Female,White,Male
Tangled Outside my Window,Human,Female,White,Female
"The Hello, Goodbye Window",Human,Female,White,Male
The Joke Book,Animal,Not applicable,Not applicable,Unknown
The Little Mermaid,Human,Female,White,Female
The Princess and the Pea,Human,More than one,White,Unknown
The Ugly Duckling,Animal,Male,Not applicable,Unknown
The Wall in the Middle of the Book,Human,Male,White,Male
The Wheels on the Bus,Human,Not applicable,White,Unknown
The Word Collector,Human,Male,White,Male
The World Needs More Purple People,Human,Female,White,More than one
What Will You Dream of Tonight,Human,Not applicable,White,Female
Wishes,Human,Female,Asian,Female
