date,title,day_night
1/1/2022,Caps for Sale,Day
1/1/2022,Caps for Sale and the Mindful Monkeys,Day
1/1/2022,Bluey - The Beach,Night
1/1/2022,Bunheads,Night
1/1/2022,Flying High The Story of Gymnastics Champion Simone Biles,Night
1/1/2022,The Joke Book,Night
1/2/2022,Bluey - The Beach,Night
1/2/2022,The Joke Book,Night
1/3/2022,Bluey - The Beach,Night
1/3/2022,Bunheads,Night
1/3/2022,Fletcher and the Springtime Blossoms,Night
1/3/2022,Flying High The Story of Gymnastics Champion Simone Biles,Night
1/4/2022,Bunheads,Night
1/4/2022,Flying High The Story of Gymnastics Champion Simone Biles,Night
1/4/2022,Frozen - Look and Find,Night
1/4/2022,"Richard Scarry's Busy, Busy Town",Night
1/5/2022,Bluey - The Beach,Night
1/5/2022,Bunheads,Night
1/5/2022,Flying High The Story of Gymnastics Champion Simone Biles,Night
1/5/2022,Madeline's Rescue,Night
1/7/2022,From My Window,Day
1/7/2022,Madeline's Rescue,Night
1/7/2022,What Will You Dream of Tonight,Night
1/8/2022,Celtic Tales - The Seal Catcher and the Selkies,Day
1/9/2022,Celtic Tales - The Giant's Stairs,Day
1/9/2022,Celtic Tales - The Kildare Pooka,Day
1/9/2022,Celtic Tales - The Seal Catcher and the Selkies,Day
1/9/2022,Frozen,Night
1/9/2022,Giraffes Can't Dance,Night
1/9/2022,I'm a Narwhal,Night
1/9/2022,Sleeping Beauty,Night
1/10/2022,Cheetahs,Night
1/10/2022,Good Night Yoga,Night
1/10/2022,Mommy Goes to Work,Night
1/10/2022,The Wheels on the Bus,Night
1/11/2022,How Do Penguins Play?,Night
1/11/2022,Moana,Night
1/11/2022,My Mouth is a Volcano,Night
1/11/2022,Puppy Birthday to You,Night
1/12/2022,How Do Penguins Play?,Night
1/12/2022,Moana,Night
1/12/2022,My Mouth is a Volcano,Night
1/12/2022,Puppy Birthday to You,Night
1/13/2022,The Wall in the Middle of the Book,Day
1/13/2022,The Word Collector,Day
1/13/2022,One Big Heart,Night
1/13/2022,The Wall in the Middle of the Book,Night
1/13/2022,The Word Collector,Night
1/13/2022,The World Needs More Purple People,Night
1/14/2022,Dear Girl,Night
1/14/2022,Good Night Yoga,Night
1/14/2022,"The Hello, Goodbye Window",Night
1/14/2022,Wishes,Night
1/15/2022,Grandmother Fish,Day
1/15/2022,Kit and Kaboodle Take the Train,Day
1/15/2022,Kit and Kaboodle Take the Train,Day
1/15/2022,Mighty Twins,Day
1/15/2022,Mighty Twins,Day
1/15/2022,My Amazing Body,Day
1/15/2022,Pete the Kitty and the Unicorn's Missing Colors,Day
1/15/2022,Tangled Outside my Window,Day
1/15/2022,Tangled Outside my Window,Day
1/15/2022,The Princess and the Pea,Day
1/15/2022,The Ugly Duckling,Day
1/15/2022,Pete the Kitty and the Unicorn's Missing Colors,Night
1/15/2022,The Little Mermaid,Night
1/15/2022,The Princess and the Pea,Night
1/15/2022,The Ugly Duckling,Night
